document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y
2024-01-11,M1240202,GAYVILLE-VOLIN SCHOOL DISTRICT,12032407,01,2024-01-19,M449588,61.02,12.0,EDUCATION,,
2024-01-11,M1240202,ST THOMAS SCHOOL,12029972,01,2024-01-19,M449588,9.45,12.0,EDUCATION,,
2024-01-11,M1240203,AGAR-BLUNT-ONIDA SCHOOL DIST,12013694,01,2024-01-19,M449589,3558.42,12.0,EDUCATION,,
2024-01-11,M1240203,ARMOUR SCHOOL DISTRICT 21-1,12055516,01,2024-01-19,M449589,3231.28,12.0,EDUCATION,,
2024-01-11,M1240203,BIG STONE SCHOOL DISTRICT 25-1,12039110,02,2024-01-19,M449589,1591.68,12.0,EDUCATION,,
2024-01-02,26942,TEMPERATURE TECHNOLOGY INC,12038147,,2024-01-19,445026,460.0,16.0,MILITARY,,
2023-12-31,16214291,ARAMARK UNIFORM & CAREER,12621433,01,2024-01-19,444974,73.64,16.0,MILITARY,,
2024-01-17,1023759-2024-01,SOCIAL SECURITY ADMINISTRATION,12112077,01,2024-01-19,448689,563.52,18.0,CORRECTIONS,,
2023-12-28,09263.001-1,THE SCHEMMER ASSOCIATES INC,12659941,,2024-01-19,445040,4500.0,16.0,MILITARY,,
2023-12-06,SFY24 RENT 01-07,STATE PARTNERS LLC,12391144,,2024-01-19,426884,8475.03,19.0,HUMAN SERVICES,,
2023-12-31,24SC195520202401,THE CENTER FOR SOCIAL CAPITAL,12561582,,2024-01-19,447790,2525.0,19.0,HUMAN SERVICES,,
2024-01-08,35677294,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,445747,36.77,19.0,HUMAN SERVICES,,
2023-09-19,LZ93325,CDW GOVERNMENT INC,12018139,01,2024-01-19,444596,300.0,17.0,VETERANS' AFFAIRS,,
2024-01-04,162142978,SUDS & DUDS INC,12049672,,2024-01-19,444981,51.9,16.0,MILITARY,,
2023-01-10,162142961,ALSCO,12122999,,2024-01-19,444963,74.77,16.0,MILITARY,,
2023-12-20,162424163,SDSU EXTENSION,SDSU,A0,2024-01-19,444959,55.0,16.0,MILITARY,,
2023-09-01,11020265,SANTEL COMMUNICATIONS,12030068,,2024-01-19,449539,136.74,16.0,MILITARY,,
2023-09-01,162141832,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,449538,83.32,16.0,MILITARY,,
2023-09-25,162143077,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,449537C,89.7,16.0,MILITARY,,
2024-01-08,35677308,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,445748,20.3,19.0,HUMAN SERVICES,,
2023-10-16,162143064,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,449528,215.02,16.0,MILITARY,,
2023-11-28,049824,BIG D OIL COMPANY,12031298,,2024-01-19,445041,82.06,16.0,MILITARY,,
2023-12-01,162142994,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,444994,468.0,16.0,MILITARY,,
2023-12-01,162142995,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,444995,92.78,16.0,MILITARY,,
2023-12-04,162142996,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,444996,197.35,16.0,MILITARY,,
2023-12-13,9933808363,GRAINGER,12016771,16,2024-01-19,445033,192.6,16.0,MILITARY,,
2023-12-14,9934929028,GRAINGER,12016771,16,2024-01-19,445028,338.64,16.0,MILITARY,,
2023-12-20,54899,WAGNER LAND & DEVELOPMENT CO,12134840,,2024-01-19,445038,2042.17,16.0,MILITARY,,
2024-01-04,162142923,"NELSON, STEPHANIE M",12435432,,2024-01-19,445043,1250.0,16.0,MILITARY,,
2023-12-25,162143003,RAPID CITY -- CITY OF,12055002,,2024-01-19,445003,133.57,16.0,MILITARY,,
2024-01-11,M1240203,EDMUNDS CENTRAL SCHOOL DIST,12043931,03,2024-01-19,M449589,1706.23,12.0,EDUCATION,,
2024-01-11,M1240201,SMEE SCHOOL DISTRICT 15-3,12055449,01,2024-01-19,M449587,286.57,12.0,EDUCATION,,
2024-01-11,M1240203,ETHAN SCHOOL DISTRICT 17-1,12055461,01,2024-01-19,M449589,4971.61,12.0,EDUCATION,,
2024-01-11,M1240203,EUREKA SCHOOL DISTRICT 44-1,12055680,03,2024-01-19,M449589,3969.01,12.0,EDUCATION,,
2024-01-01,6059972004 JAN24,CENTURYLINK COMMUNICATIONS LLC,12188416,,2024-01-19,445932,46.44,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-01,849555029,THOMSON WEST,12118604,13,2024-01-19,445936,7650.0,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-11,M1240200,WESTERN DAKOTA TECHNICAL COLLE,12664547,,2024-01-19,M449586,49392.0,12.0,EDUCATION,,
2024-01-11,M1240201,BENNETT COUNTY SCHOOL DIST 3-1,12034483,01,2024-01-19,M449587,1730.27,12.0,EDUCATION,,
2024-01-11,M1240201,ENEMY SWIM DAY SCHOOL,12038885,02,2024-01-19,M449587,2650.03,12.0,EDUCATION,,
2024-01-11,M1240201,RAPID CITY AREA SCHOOL DIST,12055761,02,2024-01-19,M449587,29631.0,12.0,EDUCATION,,
2024-01-11,M1240201,FLANDREAU SCHOOL DIST NO 50-3,12055744,02,2024-01-19,M449587,1029.74,12.0,EDUCATION,,
2024-01-11,M1240201,HAMLIN SCHOOL DISTRICT 28-3,12032784,01,2024-01-19,M449587,2032.46,12.0,EDUCATION,,
2024-01-11,M1240201,IROQUOIS SCHOOL DISTRICT 2-3,12055629,01,2024-01-19,M449587,1812.64,12.0,EDUCATION,,
2024-01-11,M1240201,KADOKA AREA SCHOOL DIST 35-2,12011114,01,2024-01-19,M449587,1306.89,12.0,EDUCATION,,
2024-01-02,INVGRPC8231,AVEL ECARE LLC,12602214,,2024-01-19,443461,27999.65,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-03,N433363,MIDSTATES PRINTING INC,12040671,,2024-01-19,445914,625.0,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-11,M1240201,LEMMON SCHOOL DIST 52-4,12196497,02,2024-01-19,M449587,2353.46,12.0,EDUCATION,,
2024-01-04,24301042024,HAMLIN COUNTY TREASURER,12054615,02,2024-01-19,445928,79.65,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-05,35658192,FRANCOTYP-POSTALIA INC,12018943,,2024-01-19,445580,154.0,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-11,M1240201,MEADE SCHOOL DISTRICT 46-1,12032328,02,2024-01-19,M449587,5654.44,12.0,EDUCATION,,
2024-01-11,M1240201,MILBANK SCHOOL DISTRICT 25-4,12055553,03,2024-01-19,M449587,4670.0,12.0,EDUCATION,,
2024-01-05,IN1118977,A & B BUSINESS INC,12036980,,2024-01-19,445920,2.5,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-05,IN4425416,INNOVATIVE OFFICE SOLUTIONS,12550348,,2024-01-19,445569,5.5,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-07,5100655502,CISCO WEBEX LLC,12119965,05,2024-01-19,443465,390.5,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-08,24901082024,CASA FIRST CIRCUIT,12053539,,2024-01-19,443463,300.0,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-11,M1240200,THREE RIVERS COOPERATIVE,12038842,,2024-01-19,M449586,2801.0,12.0,EDUCATION,,
2024-01-11,M1240200,MEADE SCHOOL DISTRICT 46-1,12032328,02,2024-01-19,M449586,5060.0,12.0,EDUCATION,,
2024-01-11,M1240198,WHITE LAKE SCHOOL DIST 1-3,12055303,01,2024-01-19,M449584,40.0,12.0,EDUCATION,,
2024-01-11,M1240201,TAKINI SCHOOL,12042404,,2024-01-19,M449587,678.46,12.0,EDUCATION,,
2024-01-11,M1240203,FLANDREAU INDIAN SCHOOL,US,03,2024-01-19,M449589,6411.9,12.0,EDUCATION,,
2024-01-11,M1240203,FREDERICK AREA SCHOOL DISTRICT,12034401,03,2024-01-19,M449589,4728.08,12.0,EDUCATION,,
2024-01-11,M1240203,FREEMAN ACADEMY & FREEMAN,12029899,01,2024-01-19,M449589,966.02,12.0,EDUCATION,,
2024-01-11,M1240203,FREEMAN PUB SCHOOL DIST 33-1,12055599,01,2024-01-19,M449589,5357.38,12.0,EDUCATION,,
2024-01-11,M1240203,HARRISBURG SCHOOL DISTRICT41-2,12055659,01,2024-01-19,M449589,76448.72,12.0,EDUCATION,,
2024-01-11,M1240203,HOT SPRINGS SCHOOL DIST 23-2,12055534,04,2024-01-19,M449589,8487.74,12.0,EDUCATION,,
2024-01-11,M1240203,HURON SCHOOL DISTRICT 2-2,12055310,03,2024-01-19,M449589,108345.4,12.0,EDUCATION,,
2024-01-11,M1240203,IPSWICH PUBLIC SCHOOL 22-6,12055530,01,2024-01-19,M449589,5294.47,12.0,EDUCATION,,
2024-01-11,M1240203,LEAD-DEADWOOD SCHOOL DIST 40-1,12031442,02,2024-01-19,M449589,8133.97,12.0,EDUCATION,,
2024-01-11,M1240201,SIOUX FALLS SCHOOL DISTRICT,12055738,13,2024-01-19,M449587,53246.92,12.0,EDUCATION,,
2024-01-11,M1240198,SISSETON SCHOOL DISTRICT 54-2,12055787,01,2024-01-19,M449584,4214.0,12.0,EDUCATION,,
2024-01-11,M1240203,MADISON CENTRAL SCHOOL,12031301,03,2024-01-19,M449589,17103.45,12.0,EDUCATION,,
2024-01-01,11041562,SANTEL COMMUNICATIONS,12030068,,2024-01-19,445917,186.0,,,27,UNIFIED JUDICIAL SYSTEMS
2023-11-07,82479EE016101,MIDWEST MOTEL OF MITCHELL,12048330,,2024-01-19,443693,157.0,,,09,HEALTH
2024-01-11,M1240201,CHEYENNE-EAGLE BUTTE BIA SCHL,12039002,,2024-01-19,M449587,4514.11,12.0,EDUCATION,,
2024-01-11,M1240198,GAYVILLE-VOLIN SCHOOL DISTRICT,12032407,01,2024-01-19,M449584,581.0,12.0,EDUCATION,,
2024-01-11,M1240198,HURON SCHOOL DISTRICT 2-2,12055310,01,2024-01-19,M449584,1887.0,12.0,EDUCATION,,
2024-01-11,M1240198,JONES COUNTY SCHOOL DIST 37-3,12035533,01,2024-01-19,M449584,2627.0,12.0,EDUCATION,,
2024-01-11,M1240198,LENNOX SCHOOL DISTRICT NO 41-4,12055663,01,2024-01-19,M449584,2023.0,12.0,EDUCATION,,
2024-01-11,M1240198,PLATTE-GEDDES SCHOOL DIST 11-5,12114526,01,2024-01-19,M449584,1514.0,12.0,EDUCATION,,
2024-01-17,35740992,ACCESS TECHNOLOGIES,12667464,01,2024-01-19,449525A,36630.66,18.0,CORRECTIONS,,
2024-01-16,2024-02,"KUHLE, DONALD E",12530949,,2024-01-19,447781,6860.0,18.0,CORRECTIONS,,
2024-01-11,M1240205,CITY OF SUMMIT,12055114,01,2024-01-19,M449591,1723.6,12.0,EDUCATION,,
2024-01-11,M1240207,YOUTH & FAMILY SERVICES INC,12056438,05,2024-01-19,M449593,1394.77,12.0,EDUCATION,,
2023-11-27,DSR4718 PW109,MELROSE TOWNSHIP,12624005,,2024-01-19,443329,1340.1,14.0,PUBLIC SAFETY,,
2023-11-27,DSR4718 PW89,MARSHALL COUNTY AUDITOR,12054327,,2024-01-19,443331,51127.76,14.0,PUBLIC SAFETY,,
2023-12-01,4035845,WASTE CONNECTIONS OF SD INC,12037175,01,2024-01-19,443771,46.07,14.0,PUBLIC SAFETY,,
2023-12-06,86651,BROADWAY CHRYSLER DODGE JEEP,12011018,,2024-01-19,443353,74.36,14.0,PUBLIC SAFETY,,
2023-12-11,1919255869,GRAHAMS INC,12032954,01,2024-01-19,443368,647.0,14.0,PUBLIC SAFETY,,
2024-01-11,712407,CENTURY BUSINESS PRODUCTS INC,12039139,,2024-01-19,444917,280.18,,,25,RETIREMENT SYSTEM
2023-12-18,121823,KASSEBURG CANINE TRAINING CTR,12553518,,2024-01-19,449546,13500.0,14.0,PUBLIC SAFETY,,
2023-12-27,70555,OLYMPIC MOTORS SD I CORP,12679909,,2024-01-19,443359,91.35,14.0,PUBLIC SAFETY,,
2024-01-11,M1240207,LITTLE TIKES DAYCARE INC,12541275,,2024-01-19,M449593,83.19,12.0,EDUCATION,,
2023-12-28,18592,QUALITY MOTORS INC,12171410,,2024-01-19,443376,115.77,14.0,PUBLIC SAFETY,,
2023-12-29,130476,CALVIN L PIES,12014098,,2024-01-19,443358,36.15,14.0,PUBLIC SAFETY,,
2023-12-29,I1673582,STREICHERS,12022224,,2024-01-19,443386A,1080.0,14.0,PUBLIC SAFETY,,
2024-01-01,4058815,WASTE CONNECTIONS OF SD INC,12037175,01,2024-01-19,443772,46.07,14.0,PUBLIC SAFETY,,
2024-01-02,1257696-IN,WEP-DAG BUYER LLC,12695725,,2024-01-19,443361,240.0,14.0,PUBLIC SAFETY,,
2024-01-02,DOCUMENT#57981,FLOYDS TRUCK CENTER INC,12658476,,2024-01-19,443363,60.16,14.0,PUBLIC SAFETY,,
2023-12-18,F146525,THE RAMKOTA COMPANIES INC,12031730,04,2024-01-19,443462A,75.0,,,27,UNIFIED JUDICIAL SYSTEMS
2024-01-03,DSR4440 PW1174.1,SPINK COUNTY AUDITOR,12055020,02,2024-01-19,443327A,245815.3,14.0,PUBLIC SAFETY,,
2024-01-03,DSR4718 PW125,POTTER-COUNTY OF,12054589,,2024-01-19,443335,68263.06,14.0,PUBLIC SAFETY,,
2024-01-03,DSR4718 PW132,GRANT COUNTY AUDITOR,12054848,08,2024-01-19,443334,6517.26,14.0,PUBLIC SAFETY,,
2024-01-03,INV-85050,ALL-AROUND INC,12124293,,2024-01-19,443347,65.75,14.0,PUBLIC SAFETY,,
2024-01-04,2024-NOV-00056,WOMEN ESCAPING A VIOLENT ENVIR,12042972,,2024-01-19,443775,12603.84,14.0,PUBLIC SAFETY,,
2023-11-22,DSR4718 PW96,GREENLEAF CIVIL TOWNSHIP,12712437,,2024-01-19,443761,18304.95,14.0,PUBLIC SAFETY,,
2024-01-11,M1240207,THE JOURNEY CHURCH,12015084,,2024-01-19,M449593,83.78,12.0,EDUCATION,,
2024-01-16,2024-02,CMA PROPERTIES LLC,12682748,,2024-01-19,447779,1600.0,18.0,CORRECTIONS,,
2024-01-11,M1240207,SIOUX FALLS SCHOOL DISTRICT,12055738,13,2024-01-19,M449593,116.82,12.0,EDUCATION,,
2024-01-19,2841206,"MOORE, GRACIE MARIE",12711690,,2024-01-19,449248,220.0,281.0,LEGISLATIVE RESEARCH COUNCIL,,
2024-01-19,2841212,"CALVERT, AYDEN",12711109,,2024-01-19,449254,220.0,281.0,LEGISLATIVE RESEARCH COUNCIL,,
2024-01-19,2841213,"HUBER, ADDISON",12711697,,2024-01-19,449255,220.0,281.0,LEGISLATIVE RESEARCH COUNCIL,,
2024-01-19,2841217,"SCHATZ, ARIEL ELIZABETH",12711234,,2024-01-19,449259,110.0,281.0,LEGISLATIVE RESEARCH COUNCIL,,
2024-01-11,1308,SODAK APPLICATING LLC,12677833,,2024-01-19,444673,2100.2,30.0,SCHOOL & PUBLIC LANDS,,
2023-10-04,R202017905:01,EDDIES TRUCK CENTER,12365069,01,2024-01-19,444399,366.38,11.0,TRANSPORTATION,,
2023-12-14,66943,DOOLEY ENTERPRISES INC,12616694,,2024-01-19,443496,3884.21,29.0,ATTORNEY GENERAL,,
2023-12-20,8-354-25201,FEDEX,12117623,01,2024-01-19,443489,14.47,29.0,ATTORNEY GENERAL,,
2023-12-20,84349682,LIFE TECHNOLOGIES CORP,12170972,01,2024-01-19,443490,152115.65,29.0,ATTORNEY GENERAL,,
2023-12-20,84349691,LIFE TECHNOLOGIES CORP,12170972,01,2024-01-19,443491,16832.02,29.0,ATTORNEY GENERAL,,
2024-01-01,849504092,THOMSON WEST,12118604,13,2024-01-19,444663,5380.0,29.0,ATTORNEY GENERAL,,
2024-01-02,GJ 12/13/23,"BANKS, BRIDGETTE R",12101972,,2024-01-19,444670,133.2,29.0,ATTORNEY GENERAL,,
2024-01-04,117338 A,CHRISBRO 4 LLC,12608572,,2024-01-19,443498,77.0,29.0,ATTORNEY GENERAL,,
2024-01-04,IN1118148,A & B BUSINESS INC,12036980,,2024-01-19,444668,73.67,29.0,ATTORNEY GENERAL,,
2024-01-04,IN1118149/118150,A & B BUSINESS INC,12036980,,2024-01-19,12036980,101.03,29.0,ATTORNEY GENERAL,,
2024-01-08,87033310001-0124,MONTANA-DAKOTA UTILITIES,12020954,12,2024-01-19,443486,73.76,29.0,ATTORNEY GENERAL,,
2024-01-11,M1240197,WATERTOWN SCHOOL DISTRICT 14-4,12055437,08,2024-01-19,M449583,452810.0,12.0,EDUCATION,,
2024-01-11,M1240197,YANKTON SCHOOL DISTRICT 63-3,12055889,01,2024-01-19,M449583,304879.0,12.0,EDUCATION,,
2024-01-11,M1240198,BALTIC SCHOOL DISTRICT 49-1,12055718,01,2024-01-19,M449584,503.0,12.0,EDUCATION,,
2023-12-22,DSR4718 PW100,SPRINGDALE TOWNSHIP,12621789,,2024-01-19,443337,29584.27,14.0,PUBLIC SAFETY,,
2024-01-11,M1240207,P & J CHILD CARE INC,12238344,01,2024-01-19,M449593,335.71,12.0,EDUCATION,,
2024-01-08,35677309,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,445740,55.8,19.0,HUMAN SERVICES,,
2024-01-11,M1240207,GREGORY COMMUNITY DAY CARE CTR,12034325,01,2024-01-19,M449593,65.49,12.0,EDUCATION,,
2024-01-08,EX177322,CITY OF SIOUX FALLS,12055054,13,2024-01-19,443777,3.0,14.0,PUBLIC SAFETY,,
2024-01-11,M1240205,SANFORD MEDICAL CENTER,12029851,18,2024-01-19,M449591,106928.77,12.0,EDUCATION,,
2024-01-08,84301 0124,ROBINS WATER CONDITIONING INC,12043312,,2024-01-19,443342,210.3,14.0,PUBLIC SAFETY,,
2024-01-08,EX177324,THE SUPPORT CIRCLE INC,12579125,,2024-01-19,443785,127.97,14.0,PUBLIC SAFETY,,
2024-01-11,M1240204,WILLOW LAKE SCHOOL DIST 12-3,12031484,01,2024-01-19,M449590,1549.48,12.0,EDUCATION,,
2024-01-08,35677245,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,443431,133.25,18.0,CORRECTIONS,,
2023-12-27,12702,SIOUX FALLS RUBBER STAMP,12036365,,2024-01-19,443408,18.65,17.0,VETERANS' AFFAIRS,,
2023-12-28,IN4419458,INNOVATIVE OFFICE SOLUTIONS,12550348,,2024-01-19,443396,134.99,17.0,VETERANS' AFFAIRS,,
2023-11-30,JJDPA2023-10,LINCOLN COUNTY,12054363,07,2024-01-19,444610,5628.8,18.0,CORRECTIONS,,
2023-12-01,1125047368,FERRELLGAS LP,12026514,04,2024-01-19,444651,103.66,18.0,CORRECTIONS,,
2023-12-04,005,DELLONGO SECURITY FENCE LLC,12709916,,2024-01-19,444625,3440.0,18.0,CORRECTIONS,,
2023-12-12,00444761,NORBERG PAINTS INC,12035225,,2024-01-19,444628,1215.28,18.0,CORRECTIONS,,
2023-12-21,S103358889.001,DAKOTA SUPPLY GROUP,12027834,,2024-01-19,444644,29.85,18.0,CORRECTIONS,,
2024-01-01,21082000021,ARAMARK SERVICES INC,12126032,02,2024-01-19,444601,87335.82,18.0,CORRECTIONS,,
2024-01-03,142670,CONTROL INSTALLATIONS OF IOWA,12580487,01,2024-01-19,444624,361.84,18.0,CORRECTIONS,,
2024-01-03,IN4422691,INNOVATIVE OFFICE SOLUTIONS,12550348,,2024-01-19,444636,2584.8,18.0,CORRECTIONS,,
2024-01-04,IN0406094,RIVERSIDE TECHNOLOGIES INC,12163031,,2024-01-19,444659,699.0,18.0,CORRECTIONS,,
2024-01-08,35677265,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,443435,91.34,18.0,CORRECTIONS,,
2024-01-04,S118476,HARVEYS LOCK SHOP INC,12053905,,2024-01-19,445022,3707.8,16.0,MILITARY,,
2024-01-08,35677279,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,443434,63.12,18.0,CORRECTIONS,,
2024-01-08,35677322,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,443430,119.11,18.0,CORRECTIONS,,
2024-01-08,35677339,GREATAMERICA FINANCIAL SRV COP,12025514,01,2024-01-19,443432,107.24,18.0,CORRECTIONS,,
2024-01-16,2024-02,ABERDEEN PROPERTY MANAGEMENT,12680783,,2024-01-19,447777,2348.06,18.0,CORRECTIONS,,
2024-01-11,M1240207,CROSSWALK COMMUNITY CHURCH,12187157,,2024-01-19,M449593,525.99,12.0,EDUCATION,,
2024-01-11,M1240207,COUGAR CUBS DAYCARE,12585720,,2024-01-19,M449593,40.42,12.0,EDUCATION,,
2024-01-11,M1240207,CHURCH AT THE GATE,12046329,01,2024-01-19,M449593,338.07,12.0,EDUCATION,,
2024-01-11,M1240205,LITTLE TIKES DAYCARE INC,12541275,,2024-01-19,M449591,320.88,12.0,EDUCATION,,
2024-01-11,M1240205,BETHESDA HOME OF ABERDEEN INC,12038099,05,2024-01-19,M449591,495.16,12.0,EDUCATION,,
2024-01-11,M1240205,BOYS & GIRLS CLUBS SIOUX EMPI,12041614,01,2024-01-19,M449591,8129.17,12.0,EDUCATION,,
2024-01-11,M1240205,CHILDRENS CASTLE INC,12015061,,2024-01-19,M449591,1754.66,12.0,EDUCATION,,
2024-01-11,M1240205,CHURCH AT THE GATE,12046329,01,2024-01-19,M449591,888.55,12.0,EDUCATION,,
2024-01-11,M1240205,COUGAR CUBS DAYCARE,12585720,,2024-01-19,M449591,372.5,12.0,EDUCATION,,
2024-01-11,M1240205,CROSSWALK COMMUNITY CHURCH,12187157,,2024-01-19,M449591,3540.5,12.0,EDUCATION,,
2024-01-11,M1240205,ELLSWORTH AFB EXCHANGE,12031061,05,2024-01-19,M449591,2524.28,12.0,EDUCATION,,
2024-01-11,M1240205,GREGORY COMMUNITY DAY CARE CTR,12034325,01,2024-01-19,M449591,414.33,12.0,EDUCATION,,
2024-01-11,M1240205,LENNOX SCHOOL DISTRICT NO 41-4,12055663,03,2024-01-19,M449591,250.23,12.0,EDUCATION,,
2024-01-11,M1240205,P & J CHILD CARE INC,12238344,01,2024-01-19,M449591,4569.25,12.0,EDUCATION,,
2024-01-11,M1240207,CHILDRENS CASTLE INC,12015061,,2024-01-19,M449593,120.66,12.0,EDUCATION,,
2024-01-11,M1240205,SIOUX FALLS SCHOOL DISTRICT,12055738,13,2024-01-19,M449591,567.59,12.0,EDUCATION,,
2024-01-11,M1240207,ELLSWORTH AFB EXCHANGE,12031061,05,2024-01-19,M449593,763.17,12.0,EDUCATION,,
2024-01-11,M1240205,THE JOURNEY CHURCH,12015084,,2024-01-19,M449591,725.96,12.0,EDUCATION,,
2024-01-11,M1240205,YOUTH & FAMILY SERVICES INC,12056438,05,2024-01-19,M449591,92613.15,12.0,EDUCATION,,
2024-01-11,M1240206,SANFORD MEDICAL CENTER,12029851,18,2024-01-19,M449592,18872.0,12.0,EDUCATION,,
2024-01-11,M1240206,YOUTH & FAMILY SERVICES INC,12056438,05,2024-01-19,M449592,10772.0,12.0,EDUCATION,,
2024-01-11,M1240207,ABERDEEN CATHOLIC SCHOOLS,12034426,01,2024-01-19,M449593,162.25,12.0,EDUCATION,,
2024-01-11,M1240207,BETHESDA HOME OF ABERDEEN INC,12038099,05,2024-01-19,M449593,171.1,12.0,EDUCATION,,
2024-01-11,M1240207,BOYS & GIRLS CLUBS SIOUX EMPI,12041614,01,2024-01-19,M449593,1362.02,12.0,EDUCATION,,
2024-01-11,M1240201,MITCHELL SCHOOL DISTRICT 17-2,12055467,04,2024-01-19,M449587,8447.6,12.0,EDUCATION,,
2024-01-11,M1240201,NEW UNDERWOOD SCHOOL,12055757,03,2024-01-19,M449587,373.66,12.0,EDUCATION,,
2024-01-11,M1240201,OELRICHS SCHOOL DISTRICT 23-3,12056160,01,2024-01-19,M449587,48.29,12.0,EDUCATION,,
2023-12-29,9311182879,LAWSON PRODUCTS INC,12223515,01,2024-01-19,444440,108.42,,,11,TRANSPORTATION
2024-01-11,M1240203,SANBORN CENTRAL SCHOOL DIST,12044063,01,2024-01-19,M449589,2629.16,12.0,EDUCATION,,
2024-01-11,M1240203,SCOTLAND SCHOOL DISTRICT 4-3,12055330,01,2024-01-19,M449589,5470.4,12.0,EDUCATION,,
2024-01-11,M1240203,SISSETON SCHOOL DISTRICT 54-2,12055787,01,2024-01-19,M449589,31086.61,12.0,EDUCATION,,
2024-01-11,M1240203,TRIPP-DELMONT SCHOOL DISTRICT,12043785,01,2024-01-19,M449589,3138.03,12.0,EDUCATION,,
2023-12-29,HU0000042873,TRUENORTH STEEL INC,12353200,,2024-01-19,444463,297.0,,,11,TRANSPORTATION
2024-01-11,M1240203,WAGNER COMMUNITY SCHOOL 11-4,12055401,01,2024-01-19,M449589,41695.8,12.0,EDUCATION,,
2024-01-11,M1240203,WEBSTER AREA SCHOOL DIST 18-5,12239846,,2024-01-19,M449589,8809.15,12.0,EDUCATION,,
2024-01-11,M1240203,WHITE LAKE SCHOOL DIST 1-3,12055303,01,2024-01-19,M449589,2953.43,12.0,EDUCATION,,
